mean_envelope_correlation,min_envelope_correlation,modulation_index_band_0,modulation_index_band_1,mean_modulation_index,channel_independence,power_band_0_f0,power_band_0_f1,power_band_0_f2,power_band_0_consonants,power_band_1_f0,power_band_1_f1,power_band_1_f2,power_band_1_consonants,num_bands,frequency_ranges,modulation_index_band_2,modulation_index_band_3,power_band_2_f0,power_band_2_f1,power_band_2_f2,power_band_2_consonants,power_band_3_f0,power_band_3_f1,power_band_3_f2,power_band_3_consonants,modulation_index_band_4,modulation_index_band_5,power_band_4_f0,power_band_4_f1,power_band_4_f2,power_band_4_consonants,power_band_5_f0,power_band_5_f1,power_band_5_f2,power_band_5_consonants,modulation_index_band_6,modulation_index_band_7,power_band_6_f0,power_band_6_f1,power_band_6_f2,power_band_6_consonants,power_band_7_f0,power_band_7_f1,power_band_7_f2,power_band_7_consonants,modulation_index_band_8,modulation_index_band_9,power_band_8_f0,power_band_8_f1,power_band_8_f2,power_band_8_consonants,power_band_9_f0,power_band_9_f1,power_band_9_f2,power_band_9_consonants,modulation_index_band_10,modulation_index_band_11,power_band_10_f0,power_band_10_f1,power_band_10_f2,power_band_10_consonants,power_band_11_f0,power_band_11_f1,power_band_11_f2,power_band_11_consonants,modulation_index_band_12,modulation_index_band_13,power_band_12_f0,power_band_12_f1,power_band_12_f2,power_band_12_consonants,power_band_13_f0,power_band_13_f1,power_band_13_f2,power_band_13_consonants,modulation_index_band_14,modulation_index_band_15,power_band_14_f0,power_band_14_f1,power_band_14_f2,power_band_14_consonants,power_band_15_f0,power_band_15_f1,power_band_15_f2,power_band_15_consonants,modulation_index_band_16,modulation_index_band_17,power_band_16_f0,power_band_16_f1,power_band_16_f2,power_band_16_consonants,power_band_17_f0,power_band_17_f1,power_band_17_f2,power_band_17_consonants,modulation_index_band_18,modulation_index_band_19,power_band_18_f0,power_band_18_f1,power_band_18_f2,power_band_18_consonants,power_band_19_f0,power_band_19_f1,power_band_19_f2,power_band_19_consonants,modulation_index_band_20,modulation_index_band_21,power_band_20_f0,power_band_20_f1,power_band_20_f2,power_band_20_consonants,power_band_21_f0,power_band_21_f1,power_band_21_f2,power_band_21_consonants
0.7612170708546343,0.6885627547646241,0.018326570572405856,0.05870549996250351,0.03851603526745468,0.4837353600602461,2.713945851236585e-05,2.088489440603766e-05,1.2478912298412013e-07,4.000695747662786e-12,5.0696196685845e-08,8.776877522819165e-07,7.314420009410756e-07,1.3873468255511865e-07,2,"{0: (np.float64(100.0), np.float64(4010.0)), 1: (np.float64(4010.0), np.float64(7920.0))}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8122080787650714,0.7117440759444355,0.07364813022331651,0.011954945757990422,0.02783816880490013,0.3421569029464357,9.554522063473188e-06,6.319797359942382e-07,1.662076854182821e-12,5.336668770162627e-17,1.7966349576385282e-05,2.056975218582198e-05,9.338773813128179e-08,5.347990804541793e-13,4,"{0: (np.float64(100.0), np.float64(2055.0)), 1: (np.float64(2055.0), np.float64(4010.0)), 2: (np.float64(4010.0), np.float64(5965.0)), 3: (np.float64(5965.0), np.float64(7920.0))}",0.02053878052379735,0.005210818714496243,5.198643043419885e-09,5.332571352697214e-07,7.861128224504266e-07,2.1331169604860208e-08,3.847208669337657e-12,1.1242374861467549e-10,1.395126114537679e-08,1.1828726393930903e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8080179527542345,0.5923442384475611,0.07694649797496315,0.03835920559291341,0.02705075415803912,0.3514666880958869,5.158733606244378e-06,2.609636549497409e-09,1.1130586263863516e-14,3.824581299825147e-19,1.4437722250138508e-05,6.748655279925971e-06,7.349549379144222e-12,1.47674499591153e-16,6,"{0: (np.float64(100.0), np.float64(1403.3333333333333)), 1: (np.float64(1403.3333333333333), np.float64(2706.6666666666665)), 2: (np.float64(2706.6666666666665), np.float64(4010.0)), 3: (np.float64(4010.0), np.float64(5313.333333333333)), 4: (np.float64(5313.333333333333), np.float64(6616.666666666666)), 5: (np.float64(6616.666666666666), np.float64(7920.0))}",0.006532257904469047,0.013560369654784847,8.217638967027053e-06,1.469258555315633e-05,7.571813878939896e-08,8.894518942104679e-14,9.270939017557388e-10,4.633115854840695e-07,7.205901307799303e-07,6.575987756159653e-10,0.021356429571809134,0.0055497642492951214,2.1237579491756813e-12,1.0360268026953417e-10,9.420932415227612e-08,4.252117768486373e-08,7.608337534593036e-14,2.2197518577407057e-12,3.3260699728335325e-10,9.681869606603589e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8191392647391353,0.6240960554033406,0.13019200012259274,0.034829150597211436,0.029350242260178135,0.35524289739920034,3.060195683130869e-06,8.501415919103565e-11,4.821449536081604e-16,1.699309706132619e-20,6.388659352888541e-06,3.659206347524521e-07,5.266313721183636e-14,1.4325263716258123e-18,8,"{0: (np.float64(100.0), np.float64(1077.5)), 1: (np.float64(1077.5), np.float64(2055.0)), 2: (np.float64(2055.0), np.float64(3032.5)), 3: (np.float64(3032.5), np.float64(4010.0)), 4: (np.float64(4010.0), np.float64(4987.5)), 5: (np.float64(4987.5), np.float64(5965.0)), 6: (np.float64(5965.0), np.float64(6942.5)), 7: (np.float64(6942.5), np.float64(7920.0))}",0.013063724410677317,0.009674410910142787,1.7859648745010003e-05,1.2675925997174352e-05,1.2167550337937275e-11,1.3712303469756243e-16,5.448593359146752e-07,8.455347141854612e-06,6.601720296167169e-08,1.9722625626911457e-14,0.010734091383499175,0.0221760436625819,2.1946589750891907e-10,4.4327349126541326e-07,6.561892881207011e-07,1.3364605705308986e-11,1.5266066711823514e-12,1.3971494574444095e-10,1.6906696930818352e-07,2.1662391225971818e-08,0.008172773767008104,0.005959743227711616,3.4839003742588044e-14,1.285985849666338e-12,3.030445917302527e-09,3.176690422947487e-08,6.511468632688546e-15,1.8984009600260868e-13,2.8380834500679345e-11,8.585878348263062e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8421905730936212,0.6489969192837485,0.11672867493489997,0.022965788761384717,0.025738459968858353,0.34856431712731756,2.7508915621005406e-06,7.593660756137604e-12,4.9585046590754884e-17,1.7707445947858347e-21,4.541520285878081e-06,2.4960237190937883e-09,2.0013914320723535e-15,6.08258820961828e-20,10,"{0: (np.float64(100.0), np.float64(882.0)), 1: (np.float64(882.0), np.float64(1664.0)), 2: (np.float64(1664.0), np.float64(2446.0)), 3: (np.float64(2446.0), np.float64(3228.0)), 4: (np.float64(3228.0), np.float64(4010.0)), 5: (np.float64(4010.0), np.float64(4792.0)), 6: (np.float64(4792.0), np.float64(5574.0)), 7: (np.float64(5574.0), np.float64(6356.0)), 8: (np.float64(6356.0), np.float64(7138.0)), 9: (np.float64(7138.0), np.float64(7920.0))}",0.041972848756197716,0.007547055730215612,5.880394945411745e-06,2.504843945450535e-06,1.0989883675525106e-13,2.208768089186557e-18,1.4605443084922944e-05,1.3634051869003272e-05,1.5002652419019884e-11,9.201696460316162e-17,0.009730773500080132,0.00851972507710578,3.127976557053526e-08,5.453402610302205e-06,6.043973958496099e-08,5.47578720694317e-15,6.413105428546352e-11,4.3547108710093895e-07,5.741193277583236e-07,9.379859416274505e-13,0.009577088988578066,0.028524872259245517,9.608612420850806e-13,1.784245263004562e-10,2.154720319718076e-07,5.543247989556954e-09,3.197880450739424e-14,1.6026843777598335e-12,4.361267114482365e-08,2.9765396875158517e-08,0.00560715266195465,0.006210619018921323,2.441346077269558e-15,8.183455667024145e-14,5.5231089148214366e-11,2.7711743559604517e-08,1.070768753074321e-15,3.1205612695552804e-14,4.649127553770893e-12,7.56146167726254e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8491958960159524,0.6190535288023491,0.09147772411125597,0.008988694665396797,0.02334699148250774,0.328057042496942,2.6671493770983957e-06,1.1786482031950604e-12,8.3665694714761e-18,3.012474717819765e-22,2.505413350194898e-06,9.825917154790526e-11,1.778291171037366e-16,5.7102374290953036e-21,12,"{0: (np.float64(100.0), np.float64(751.6666666666666)), 1: (np.float64(751.6666666666666), np.float64(1403.3333333333333)), 2: (np.float64(1403.3333333333333), np.float64(2055.0)), 3: (np.float64(2055.0), np.float64(2706.6666666666665)), 4: (np.float64(2706.6666666666665), np.float64(3358.333333333333)), 5: (np.float64(3358.333333333333), np.float64(4010.0)), 6: (np.float64(4010.0), np.float64(4661.666666666666)), 7: (np.float64(4661.666666666666), np.float64(5313.333333333333)), 8: (np.float64(5313.333333333333), np.float64(5965.0)), 9: (np.float64(5965.0), np.float64(6616.666666666666)), 10: (np.float64(6616.666666666666), np.float64(7268.333333333333)), 11: (np.float64(7268.333333333333), np.float64(7920.0))}",0.07446347895993731,0.019660779211835976,4.2328853078820196e-06,2.6761826065700513e-07,4.448267363766981e-15,1.1158441008786967e-19,1.0279071832513153e-05,6.4055961321813185e-06,1.6247060168719675e-13,2.323595980030221e-18,0.004824200700850955,0.00775516814324825,8.402951269796394e-06,1.1100459875711895e-05,1.6589063966783677e-11,5.5485711764324114e-17,3.5966688478081527e-09,3.891766960438973e-06,5.709151996299241e-08,1.8038044198287224e-15,0.006856523702684732,0.00750755649867481,2.1984559068712533e-11,4.312174085507167e-07,5.071709099726421e-07,1.2710438245401254e-13,5.733367806746437e-13,2.2540193816975373e-10,2.3731292727776463e-07,1.2424160728605995e-10,0.03278831308896439,0.013661263263738562,2.7738416942873408e-14,1.9906585184292984e-12,9.157066738109024e-08,2.1780386774524235e-08,2.197629528130041e-15,8.877175464809396e-14,1.1015812877089858e-09,2.1902572712649873e-08,0.005704737151601327,0.006475458291903849,3.576644496640106e-16,1.1451327161499746e-14,4.4863844535741415e-12,3.167521011122163e-08,2.5476845501892337e-16,7.42285611959484e-15,1.1032206374110488e-12,6.544987497650888e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8575017951020408,0.6314307339947094,0.05405497969038776,0.009392071956077736,0.015383645541870406,0.31832231681466044,2.5725948985350793e-06,2.591044433329642e-13,1.943442479141816e-18,7.041148537595951e-23,9.532914307456942e-07,9.513692366749532e-12,2.6344491703295117e-17,8.736344549945543e-22,14,"{0: (np.float64(100.0), np.float64(658.5714285714286)), 1: (np.float64(658.5714285714286), np.float64(1217.142857142857)), 2: (np.float64(1217.142857142857), np.float64(1775.7142857142858)), 3: (np.float64(1775.7142857142858), np.float64(2334.285714285714)), 4: (np.float64(2334.285714285714), np.float64(2892.8571428571427)), 5: (np.float64(2892.8571428571427), np.float64(3451.4285714285716)), 6: (np.float64(3451.4285714285716), np.float64(4010.0)), 7: (np.float64(4010.0), np.float64(4568.571428571428)), 8: (np.float64(4568.571428571428), np.float64(5127.142857142857)), 9: (np.float64(5127.142857142857), np.float64(5685.714285714285)), 10: (np.float64(5685.714285714285), np.float64(6244.285714285714)), 11: (np.float64(6244.285714285714), np.float64(6802.857142857143)), 12: (np.float64(6802.857142857143), np.float64(7361.428571428572)), 13: (np.float64(7361.428571428572), np.float64(7920.0))}",0.02275497207591658,0.0171172914971891,4.164296765462704e-06,2.112778619730073e-09,3.94419366935787e-16,1.1056886384809431e-20,4.469107914773726e-06,1.8248487024596966e-06,7.211519073070724e-15,1.4494903619402969e-19,0.008683755377613232,0.008061665421800448,1.4096755828464534e-05,9.165957023693323e-06,2.0337035739956426e-13,2.0323555773497344e-18,1.667410442363656e-06,8.102967878769196e-06,1.7557813539731184e-11,3.2490934241823636e-17,0.006387648067919621,0.0058980684454261615,6.529465024022197e-10,2.5007720568402056e-06,5.4998927027548584e-08,6.78315470378403e-16,8.532544140064584e-12,4.2836436551243e-07,4.520599020824e-07,2.5622731000446375e-14,0.007330630304383983,0.013321622915747964,3.3856449232259604e-13,2.8777048417975475e-10,2.584949483971118e-07,4.961515118844079e-12,2.2309776931636674e-14,2.3804407555155017e-12,1.020402888210882e-07,9.779960814734383e-09,0.04078893680723692,0.009096384165240801,2.102331670131711e-15,1.0611738265859158e-13,2.664982671259463e-08,2.1439313197635684e-08,2.972331895580341e-16,1.0818364935639831e-14,2.2674469313929666e-11,1.704842085822138e-08,0.00577069244357409,0.00671231841767127,8.06154306009582e-17,2.515098498363386e-15,7.411676321739187e-13,3.586746522991918e-08,7.696275307164374e-17,2.2419558787301085e-15,3.3263453686037084e-13,5.663724009969417e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8652489420929057,0.6658011763975212,0.05076596801398452,0.00880295358404603,0.015936124469537953,0.3086805594045097,2.5321927495336332e-06,7.234423969815593e-14,5.642331177633573e-19,2.0569408204155013e-23,4.884513398898086e-07,1.528046404696953e-12,5.479018403285356e-18,1.855384051383744e-22,16,"{0: (np.float64(100.0), np.float64(588.75)), 1: (np.float64(588.75), np.float64(1077.5)), 2: (np.float64(1077.5), np.float64(1566.25)), 3: (np.float64(1566.25), np.float64(2055.0)), 4: (np.float64(2055.0), np.float64(2543.75)), 5: (np.float64(2543.75), np.float64(3032.5)), 6: (np.float64(3032.5), np.float64(3521.25)), 7: (np.float64(3521.25), np.float64(4010.0)), 8: (np.float64(4010.0), np.float64(4498.75)), 9: (np.float64(4498.75), np.float64(4987.5)), 10: (np.float64(4987.5), np.float64(5476.25)), 11: (np.float64(5476.25), np.float64(5965.0)), 12: (np.float64(5965.0), np.float64(6453.75)), 13: (np.float64(6453.75), np.float64(6942.5)), 14: (np.float64(6942.5), np.float64(7431.25)), 15: (np.float64(7431.25), np.float64(7920.0))}",0.012747651604935269,0.020398268669845423,3.847992859682949e-06,9.203609193982256e-11,5.685931218989978e-17,1.7010275910999632e-21,2.5521303512622073e-06,2.12159932007741e-07,6.659451145901067e-16,1.5936741190646908e-20,0.035175053936625386,0.006156893977815752,4.76266020632887e-06,2.87941957610586e-06,9.81822390005777e-15,1.5515962179834376e-19,1.3676521965607124e-05,1.0000587404344616e-05,2.331598289471158e-13,1.6169353930116413e-18,0.009305033202699922,0.004517477665661753,1.2315108569682643e-07,6.820091458563028e-06,1.826931364987532e-11,1.9059577986184526e-17,1.59830321881558e-10,1.7046359011675777e-06,5.363532711605873e-08,2.83294300938543e-16,0.005409976352618725,0.007970400745516993,3.655753105495813e-12,4.262789189535003e-07,4.013523495877401e-07,6.737477708077613e-15,2.0171840407497612e-13,3.7411287839848856e-10,2.748309245325252e-07,4.906177474167294e-13,0.014351370725447815,0.04838733159440575,1.709413237811068e-14,2.783650945260702e-12,1.0498857190385975e-07,1.5604703558661544e-09,1.9303541962849447e-15,1.2520435445665287e-13,5.869737818661238e-08,2.0515554157260084e-08,0.011160879727653174,0.007048218433533941,2.8716824132422615e-16,1.2197541010360022e-14,4.727116325854754e-10,1.704048836739758e-08,6.162343569208366e-17,2.1137868658222654e-15,1.918587403560032e-12,1.4447109606950963e-08,0.005866370516887438,0.006914142760929363,2.395947247760838e-17,7.35468965845727e-16,1.82665689017204e-13,3.8055490390116254e-08,2.749737360433689e-17,8.009006593485564e-16,1.1867387464205781e-13,4.9158908002315504e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8737591531140078,0.6494048108961408,0.0352800183848776,0.006789591630495959,0.012597884365473617,0.2915415848793104,2.43827498532677e-06,2.40429826202314e-14,1.9306496011278002e-19,7.093599096162612e-24,4.1125257166426154e-07,3.4007305163658606e-13,1.4490841475575769e-18,4.979885711499303e-23,18,"{0: (np.float64(100.0), np.float64(534.4444444444445)), 1: (np.float64(534.4444444444445), np.float64(968.8888888888889)), 2: (np.float64(968.8888888888889), np.float64(1403.3333333333335)), 3: (np.float64(1403.3333333333335), np.float64(1837.7777777777778)), 4: (np.float64(1837.7777777777778), np.float64(2272.222222222222)), 5: (np.float64(2272.222222222222), np.float64(2706.666666666667)), 6: (np.float64(2706.666666666667), np.float64(3141.1111111111113)), 7: (np.float64(3141.1111111111113), np.float64(3575.5555555555557)), 8: (np.float64(3575.5555555555557), np.float64(4010.0)), 9: (np.float64(4010.0), np.float64(4444.444444444444)), 10: (np.float64(4444.444444444444), np.float64(4878.888888888889)), 11: (np.float64(4878.888888888889), np.float64(5313.333333333334)), 12: (np.float64(5313.333333333334), np.float64(5747.777777777778)), 13: (np.float64(5747.777777777778), np.float64(6182.222222222223)), 14: (np.float64(6182.222222222223), np.float64(6616.666666666667)), 15: (np.float64(6616.666666666667), np.float64(7051.111111111111)), 16: (np.float64(7051.111111111111), np.float64(7485.555555555556)), 17: (np.float64(7485.555555555556), np.float64(7920.0))}",0.006505749045095256,0.03380192119985478,2.3826711120346706e-06,9.537755476755356e-12,1.1404399895722172e-17,3.557794306189221e-22,2.6388577726681705e-06,1.8024931538306881e-09,9.723552733700064e-17,2.579386305564237e-21,0.00793975779180376,0.01341641492092586,3.6986024190208713e-06,1.4208018077621858e-06,9.530805224204826e-16,1.9157191871268393e-20,8.148792054945713e-06,5.242822885100545e-06,1.2055712867174775e-14,1.4809460383084917e-19,0.003944429728680576,0.010814606731269941,8.367893662264408e-06,8.478912210513243e-06,2.5448709095935913e-13,1.2241774139129273e-18,1.0040348049305858e-08,5.269350727340184e-06,1.8915371967941557e-11,1.134692852619843e-17,0.0038384072163592303,0.0052829562129477065,4.826277412652743e-11,1.2996896409382575e-06,5.2705105321003495e-08,1.2880553484002895e-16,1.6974902605301403e-12,4.24696996306589e-07,3.58497526377014e-07,2.142871098038329e-15,0.010034458324230403,0.009728439975232537,1.222721841780995e-13,4.966491744832375e-10,2.7402696710141476e-07,8.072449893330945e-14,1.2747311820265137e-14,3.2251917056427455e-12,1.1767605775598818e-07,3.226087109460604e-11,0.012420476445436025,0.036448849398208964,1.694742929634008e-15,1.4432494953394273e-13,7.506557009452061e-08,1.2122155594120704e-08,2.780555538307009e-16,1.4075972968710491e-14,1.759905334551483e-08,1.7105565100273287e-08,0.010918569734606011,0.006618031679366858,5.806541728172232e-17,2.2339857028351194e-15,1.1595106560401887e-11,1.4584829188528843e-08,1.704563515130552e-17,5.632264118328622e-16,3.1895472597491835e-13,1.3848091610834017e-08,0.005940324226772368,0.007038915932361241,8.613082201020553e-18,2.615145108093348e-16,5.806342436919017e-14,4.066093520023967e-08,1.113104540476342e-17,3.241734439045744e-16,4.7985995300107295e-14,4.2627048675638276e-08,,,,,,,,,,,,,,,,,,,,
0.8806349967394513,0.6594961966693426,0.02697874699375347,0.006046514795961617,0.013033769081398316,0.279303181459169,2.4688364992374737e-06,9.122877831590089e-15,7.493318773358152e-20,2.7847501122756425e-24,4.461825936251103e-07,9.508145853942603e-14,4.581767151219252e-19,1.592598115072904e-23,20,"{0: (np.float64(100.0), np.float64(491.0)), 1: (np.float64(491.0), np.float64(882.0)), 2: (np.float64(882.0), np.float64(1273.0)), 3: (np.float64(1273.0), np.float64(1664.0)), 4: (np.float64(1664.0), np.float64(2055.0)), 5: (np.float64(2055.0), np.float64(2446.0)), 6: (np.float64(2446.0), np.float64(2837.0)), 7: (np.float64(2837.0), np.float64(3228.0)), 8: (np.float64(3228.0), np.float64(3619.0)), 9: (np.float64(3619.0), np.float64(4010.0)), 10: (np.float64(4010.0), np.float64(4401.0)), 11: (np.float64(4401.0), np.float64(4792.0)), 12: (np.float64(4792.0), np.float64(5183.0)), 13: (np.float64(5183.0), np.float64(5574.0)), 14: (np.float64(5574.0), np.float64(5965.0)), 15: (np.float64(5965.0), np.float64(6356.0)), 16: (np.float64(6356.0), np.float64(6747.0)), 17: (np.float64(6747.0), np.float64(7138.0)), 18: (np.float64(7138.0), np.float64(7529.0)), 19: (np.float64(7529.0), np.float64(7920.0))}",0.00904434127866924,0.016214921621818444,1.0247254342428302e-06,1.6038883990892845e-12,2.9027844129906478e-18,9.321805984940494e-23,3.6381417803874277e-06,8.321255220881463e-11,1.94592055251807e-17,5.51762048662679e-22,0.006788109970698217,0.048712349428641166,1.9356693036526877e-06,1.751895511980163e-07,1.4303114682586922e-16,3.319527561444266e-21,3.693429551393715e-06,2.2133555476328874e-06,1.2276809961847011e-15,2.0491955461408123e-20,0.009146523386385384,0.006149838923206806,1.1982622474553303e-05,7.719292376732305e-06,1.3883159366917651e-14,1.3173623497360668e-19,2.9013003245043873e-06,6.153111532320339e-06,2.6995143449550795e-13,9.036917190726534e-19,0.009007294920020035,0.003989145837575454,1.4758696184868041e-09,4.30503775006361e-06,1.9599310787785862e-11,6.891656475621004e-18,1.7025187844923264e-11,9.742916713964365e-07,5.203812303319949e-08,6.281503823189997e-17,0.005168374547726516,0.011491987887588326,8.425171727589523e-13,4.234674759001571e-07,3.2359676731383194e-07,7.862537723860482e-16,7.564303165822853e-14,6.743022255342976e-10,2.5983609801691023e-07,1.837523664683226e-14,0.0069705932600402105,0.011945301898438291,9.379146245533556e-15,3.7311327952448e-12,1.3972815729027248e-07,1.972986284353146e-12,1.437925317779556e-15,1.6347191066251374e-13,7.484517518002381e-08,5.481272282414704e-09,0.040113859723736114,0.010867299054176428,2.6194234296356883e-16,1.607583266300393e-14,4.1804409448695557e-08,1.6841353043260605e-08,5.696463008003116e-17,2.4987065665209737e-15,2.2460748359761738e-10,1.335256773665455e-08,0.012390295150996228,0.0063971839467415305,1.5475619305593513e-17,5.592135096830867e-16,1.052001422635359e-12,1.1272189785144434e-08,5.7857912366552904e-18,1.8639177198263172e-16,7.833579301722491e-14,1.588564886657684e-08,0.0061183795256905685,0.007134319476102347,3.5541844802909426e-18,1.0707927063522643e-16,2.198830290105772e-14,4.218354668745253e-08,4.964091213503476e-18,1.4455874396612152e-16,2.138104085667665e-14,3.695406625853931e-08,,,,,,,,,,
